id,tags
W2050041941,"titanium dioxide,photocatalytic material,photocatalytic,anatase,rutile,polymorphs,photocatalytic performance,phase transformation,anatase to rutile phase transformation,thermodynamic of phase transformation,synthesis and property,dopant,cationic radius,valence,inhibitor,promoter,dopant element"
W2023728301,"liquid phase sintering,sintering,multi-phase component,multi-phase formation,powder,solid grain,wetting liquid,metal cutting insert,engine connecting rod,mixed powder heating,computer simulation,densification and microstructure evolution,densification,microstructure"
W2144804459,"lead-free piezoelectric material,lead zirconate titanate,lead,zirconate,titanate,piezoelectric property,piezoelectric,perovskite system,perovskite,bismuth sodium titanate,bismuth,sodium,alkali niobate,non-perovskite,bismuth layer-structured ferroelectric,ferroelectric,piezoelectric material,toxicity of lead,lead free material,structure-property correlation"
W3172350939,"toughening mechanism,elastomer-modified epoxy,brittle epoxy,elastomeric phase,tensile dilatometry,dilatometry,displacement rate,deformation mechanism,diglycidyl ether-bisphenol a,ether,bisphenol,carboxyl-terminated butadiene nitrile liquid rubber,carboxyl-terminated butadiene nitrile,carboxyl,butadiene nitrile liquid rubber,butadiene,nitrile,liquid rubber,strain rate,rubber particle,rubber,shear deformation,deformation,cavitation"
W2033304583,"microcapsule induced toughening,microcapsule,self-healing polymer composite,self-healing,polymer composite,polymer,grubbs ru catalyst,epoxy matrix,fracture toughness,tapered double-cantilever beam specimen,beam specimen,microcapsule,brittle neat epoxy,epoxy,mirror fracture surface,urea-formaldehyde microcapsules,urea-formaldehyde,hackle markings,silica microsphere,fluid-filled microcapsule,solid urea-formaldehyde polymer particles,urea-formaldehyde polymer,polymer particle,subsurface microcracking,virgin fracture toughness,embedded microcapsule"
W2069651853,"polyethylene filament,polyethylene,monofilament,filament,solution spinning,solution drawing,hot drawing,draw ratio,mechanical property,thermal property,tensile strength,tensility,young's modulus,dsc-melting point,melting point,scan speed,morphological study,x-ray study,x-ray,macromolecule orientation,fibre direction,polyethylene monofilament"
W1638951802,"toughening mechanism,elastomer-modified epoxy,elastomer,matrix ductility,ductility,diglycidyl ether of bisphenol a,ether,bisphenol,monomer molecular weight,monomer,epoxide resin,resin,diaminodiphenyl sulphone,carboxyl-terminated copolymer of butadiene and acrylonitrile,copolymer of butadiene and acrylonitrile,butadiene,acrylonitrile,fracture toughness,neat epoxy,tensile dilatometry,piperidine cured epoxy,piperidine cured,scanning electron microscopy,optical microscopy,microscopy"
W1998874719,"particle size distribution,particle size,toughening mechanism,rubber-modified epoxy,rubber,internal cavitation,cavitation,rubber particle,shear band,toughness enhancement,crack deflection,particle bridging,particle size dependence,fracture toughness,cavitation-induced shear banding,shear banding,bridging particle,neat epoxy,bimodal epoxy mixture,epoxy"
W1980885978,"magnesium matrix composite technology,magnesium matrix composite,matrix composite,conventional fabrication process,new fabrication process,fabrication process,composite microstructure,grain refinement,reinforcement distribution,interfacial characteristic,mechanical property"
W2032769396,"macroscopic yield behaviour of polymer,macroscopic yield behaviour,polymer yield behaviour,yield behavior,yield criterion,pressure-modified octahedral shear stress criterion,octahedral,shear stress criterion,von mises criterion,von mises,tensile yield strength,tensility,compressive yield strength,compression,hydrostatic component,applied stress state"
W2006113459,"glass-ceramic,production from waste,polycrystalline material,microstructure,controlled crystallisation,crystallisation,devitrification,silicate-based waste,silcate,coal combustion ash,coal combustion,ash,steel production slag,slag,fly ash,waste incinerator filter dust,dust,metal hydrometallurgy mud,mud,sludge,glass cullet,silcate waste,building material,construction component,architectural component,thermo-mechanical property,commercialization,industrial exploitation"
W2064375563,"ceramic matrix composite,ceramic,carbon nanotubes,physical property,mechanical property,reinforcement,structural composite reinforcement,structural composite,electrical property,thermal property,multifunctional application,inorganic matrix composite,toughening element,intrinsic brittleness,cnt polymer matrix composites,cnt polymer,polymer,polymer matrix composites,cnt-loaded ceramic matrix composite,brittle matrix,dispersion quality,density,composite property,toughness,toughening mechanism"
W2001428875,"liquid phase bonding,transient liquid phase bonding,partial transient liquid phase bonding,bonding,material joining,interlayer,melting,isothermal solidification,melting point,bonding temperature,ni-based superalloy,process kinetic,bonding time,interlayer thickness,interlayer format,optimal bonding temperature,multiple layer,multiple layer interlayer,ceramics,refractory core,lower-melting layer,bonding kinetic"
